,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-03-21,5.9,0.0,12.0,,,,8.3,,,
1,2015-05-31,15.3,6.0,23.0,,,,9.4,,,
2,2015-09-16,15.3,13.0,20.0,,,,5.8,,,
3,2015-09-28,12.2,7.0,18.0,,,34.2,20.1,,,
4,2016-08-28,26.0,20.0,34.0,,,,10.8,,,
5,2017-03-05,7.5,6.0,11.0,,,204.2,25.2,,1003.4,
6,2017-04-30,12.5,3.0,21.0,,,,9.0,,1010.0,
7,2017-11-10,6.1,5.0,7.0,,,,,,1021.0,
8,2017-11-11,7.8,5.0,10.0,,,,,,1013.5,
9,2017-11-12,5.9,3.0,11.0,,,,12.1,,1004.8,
10,2017-11-13,4.3,2.0,7.0,,,,5.7,,1015.9,
11,2017-11-14,1.7,-1.0,4.0,,,,3.2,,,
12,2017-11-16,1.3,0.0,3.0,,,,6.2,,,
13,2017-11-17,3.5,2.0,5.0,,,,6.1,,1026.3,
14,2017-11-18,5.4,4.0,7.0,,,,13.0,,1023.2,
15,2017-11-19,4.8,3.0,9.0,,,220.8,18.4,,1020.2,
16,2017-11-22,7.0,1.0,16.0,,,,5.9,,1012.4,
17,2017-11-23,10.7,1.0,17.0,,,,18.7,,1010.2,
18,2017-11-24,13.0,10.0,17.0,,,205.4,20.8,,1012.6,
19,2017-11-25,7.0,3.0,10.0,,,,12.9,,1013.0,
20,2017-11-26,3.3,2.0,5.0,,,212.5,14.3,,1024.9,
21,2017-11-27,4.5,2.0,6.0,,,,,,1022.7,
22,2017-11-28,4.8,3.0,6.0,,,202.5,24.7,,1009.3,
23,2017-11-29,2.6,0.0,5.0,,,215.4,10.8,,,
24,2017-11-30,1.2,0.0,4.0,,,,13.8,,,
25,2017-12-01,0.3,-2.0,4.0,,,,6.0,,,
26,2017-12-04,0.9,0.0,2.0,,,212.5,17.4,,,
27,2017-12-05,3.5,2.0,5.0,,,208.8,11.9,,1036.9,
28,2017-12-07,3.5,-2.0,9.0,,,209.6,18.1,,,
29,2017-12-09,0.4,-2.0,2.0,,,219.6,17.3,,,
30,2017-12-10,2.2,-2.0,9.0,,,,20.1,,,
31,2017-12-11,8.0,7.0,9.0,,,,21.6,,983.4,
32,2017-12-12,3.8,0.0,9.0,,,224.6,16.4,,1008.2,
33,2017-12-13,4.3,1.0,7.0,,,203.8,27.1,,1010.0,
34,2017-12-14,6.4,5.0,8.0,,,215.8,28.0,,998.3,
35,2017-12-15,4.4,2.0,6.0,,,207.5,21.6,,997.9,
36,2017-12-16,3.5,3.0,5.0,,,,,,1010.5,
37,2017-12-17,2.5,1.0,3.0,,,,,,1024.2,
38,2017-12-18,1.5,0.0,2.0,,,,11.9,,,
39,2017-12-19,2.4,2.0,3.0,,,,,,1033.4,
40,2017-12-20,3.3,2.0,5.0,,,,,,1034.5,
41,2017-12-21,5.3,4.0,6.0,,,210.0,15.3,,1036.2,
42,2017-12-22,7.4,6.0,8.0,,,,,,1034.8,
43,2017-12-23,7.6,7.0,8.0,,,,,,1035.5,
44,2017-12-26,4.9,-3.0,11.0,,,,,,1006.4,
45,2017-12-28,2.7,1.0,4.0,,,,,,1000.8,
46,2017-12-29,2.5,0.0,5.0,,,207.5,22.2,,1008.8,
47,2017-12-30,8.4,5.0,13.0,,,202.5,26.9,,1007.0,
48,2018-01-02,6.4,5.0,8.0,,,,,,1013.3,
49,2018-01-04,9.1,6.0,13.0,,,205.8,26.8,,1001.6,
50,2018-01-06,8.1,6.0,10.0,,,,7.9,,1006.8,
51,2018-01-07,7.1,6.0,8.0,,,42.9,25.6,,1015.8,
52,2018-01-08,7.0,6.0,9.0,,,,,,1017.6,
53,2018-01-09,5.3,3.0,8.0,,,,9.9,,1012.5,
54,2018-01-10,6.6,4.0,9.0,,,,7.7,,1011.7,
55,2018-01-13,1.5,-2.0,6.0,,,,6.3,,,
56,2018-01-15,1.8,-5.0,8.0,,,,14.8,,,
57,2018-01-16,6.7,3.0,9.0,,,227.9,24.6,,999.9,
58,2018-01-17,3.8,0.0,6.0,,,235.0,22.0,,,
59,2018-01-18,6.2,4.0,9.0,,,206.3,35.0,,1006.3,
60,2018-01-21,3.7,2.0,5.0,,,,7.1,,1013.8,
61,2018-01-22,7.3,2.0,11.0,,,,11.3,,1011.3,
62,2018-01-23,7.3,6.0,9.0,,,210.4,15.9,,1025.1,
63,2018-01-24,10.3,8.0,13.0,,,216.3,19.9,,1021.8,
64,2018-01-25,11.2,8.0,14.0,,,,15.9,,1015.3,
65,2018-01-26,7.5,6.0,12.0,,,,5.8,,1018.0,
66,2018-01-27,5.9,5.0,7.0,,,,6.5,,1030.6,
67,2018-01-29,8.8,7.0,10.0,,,210.8,21.5,,1032.1,
68,2018-01-30,8.4,7.0,10.0,,,197.9,10.9,,1028.8,
69,2018-02-01,4.6,1.0,7.0,,,227.9,15.6,,,
70,2018-02-02,2.9,1.0,5.0,,,210.4,17.7,,,
71,2018-02-03,2.7,2.0,4.0,,,,9.7,,1007.8,
72,2018-02-04,0.6,-1.0,3.0,,,,10.3,,,
73,2018-02-07,-0.4,-3.0,2.0,,,,4.2,,,
74,2018-02-08,0.7,-2.0,3.0,,,,6.2,,,
75,2018-02-10,2.0,1.0,4.0,,,,8.6,,1017.3,
76,2018-02-11,2.9,0.0,6.0,,,208.3,22.1,,1009.0,
77,2018-02-12,2.0,-2.0,4.0,,,227.9,12.7,,1015.5,
78,2018-02-16,6.0,2.0,11.0,,,,7.7,,1024.6,
79,2018-02-17,1.3,0.0,2.0,,,24.6,19.2,,,
80,2018-02-19,1.1,0.0,2.0,,,,4.0,,,
81,2018-02-23,0.0,-3.0,2.0,,,33.8,29.2,,,
82,2018-02-24,0.2,-4.0,5.0,,,32.9,32.7,,,
83,2018-02-25,-3.0,-6.0,0.0,,,43.8,28.5,,,
84,2018-02-26,-6.0,-8.0,-3.0,,,,,,1022.3,
85,2018-02-27,-7.4,-11.0,-5.0,,,47.5,17.2,,1017.8,
86,2018-02-28,-6.7,-13.0,-1.0,,,46.7,20.7,,1014.7,
87,2018-03-02,-1.7,-3.0,0.0,,,,18.5,,,
88,2018-03-03,-0.4,-2.0,3.0,,,,8.3,,,
89,2018-03-05,6.8,0.0,14.0,,,,8.8,,995.0,
90,2018-03-07,6.3,3.0,10.0,,,211.7,18.3,,997.8,
91,2018-03-08,8.4,4.0,13.0,,,,,,1005.4,
92,2018-03-09,9.0,4.0,15.0,,,,,,1008.0,
93,2018-03-10,10.9,8.0,14.0,,,,9.0,,1004.2,
94,2018-03-11,9.2,5.0,14.0,,,,,,997.6,
95,2018-03-14,8.0,3.0,13.0,,,,11.1,,1010.8,
96,2018-03-15,5.5,1.0,10.0,,,,8.7,,997.9,
97,2018-03-16,8.5,3.0,14.0,,,,13.7,,1001.4,
98,2018-03-19,0.3,-1.0,3.0,,,31.7,21.4,,,
99,2018-03-20,-0.1,-4.0,3.0,,,44.2,14.3,,,
100,2018-03-21,0.8,-4.0,6.0,,,,10.2,,,
101,2018-03-22,0.1,-5.0,4.0,,,,14.2,,1020.2,
102,2018-03-24,5.4,-1.0,13.0,,,,11.3,,,
103,2018-03-26,6.8,3.0,11.0,,,,4.7,,,
104,2018-03-27,7.0,2.0,13.0,,,,14.3,,1014.0,
105,2018-03-29,7.3,3.0,10.0,,,,,,1007.7,
106,2018-03-30,5.8,-1.0,13.0,,,,8.6,,,
107,2018-04-02,7.9,0.0,15.0,,,,5.0,,,
108,2018-04-03,15.7,10.0,21.0,,,,13.8,,1004.4,
109,2018-04-04,11.9,10.0,17.0,,,,14.5,,1005.0,
110,2018-04-05,10.1,6.0,11.0,,,,19.6,,1013.8,
111,2018-04-07,12.6,3.0,23.0,,,,5.9,,1012.0,
112,2018-04-08,15.0,5.0,25.0,,,,10.3,,1006.9,
113,2018-04-10,11.7,7.0,18.0,,,,7.8,,,
114,2018-04-12,14.0,9.0,20.0,,,,12.8,,999.1,
115,2018-04-13,10.6,6.0,15.0,,,,8.2,,1007.9,
116,2018-04-14,12.5,4.0,20.0,,,,6.3,,1017.6,
117,2018-04-15,15.5,11.0,19.0,,,,7.6,,1013.2,
118,2018-04-16,15.9,11.0,21.0,,,,8.5,,1014.6,
119,2018-04-17,15.3,6.0,23.0,,,,5.6,,1024.0,
120,2018-04-18,17.5,8.0,26.0,,,,11.6,,1028.5,
121,2018-04-19,19.1,11.0,28.0,,,,9.8,,1025.8,
122,2018-04-21,18.6,9.0,28.0,,,,5.7,,1018.8,
123,2018-04-22,20.0,11.0,29.0,,,,8.1,,1014.4,
124,2018-04-23,17.0,14.0,20.0,,,211.3,15.2,,,
125,2018-04-24,16.5,12.0,21.0,,,,,,1017.8,
126,2018-04-25,16.0,12.0,20.0,,,245.0,15.5,,1013.7,
127,2018-04-26,12.4,9.0,16.0,,,,11.2,,1018.8,
128,2018-04-27,13.3,3.0,21.0,,,,7.6,,1012.1,
129,2018-04-29,16.4,10.0,25.0,,,,,,1004.5,
130,2018-04-30,14.9,11.0,19.0,,,,,,1004.5,
131,2018-05-01,10.7,7.0,15.0,,,,9.6,,1013.3,
132,2018-05-03,14.1,10.0,19.0,,,,9.2,,1014.2,
133,2018-05-04,16.2,9.0,23.0,,,25.0,21.4,,,
134,2018-05-05,17.9,12.0,25.0,,,37.9,25.6,,,
135,2018-05-06,19.2,14.0,25.0,,,21.7,24.0,,,
136,2018-05-07,18.9,11.0,26.0,,,37.5,18.8,,,
137,2018-05-09,18.6,11.0,26.0,,,,10.0,,1005.8,
138,2018-05-10,13.5,10.0,16.0,,,,14.2,,1011.5,
139,2018-05-11,14.7,6.0,22.0,,,,10.8,,1017.8,
140,2018-05-12,17.4,9.0,26.0,,,,7.7,,1013.3,
141,2018-05-13,13.8,11.0,19.0,,,207.5,13.4,,1010.6,
142,2018-05-14,12.7,11.0,15.0,,,208.8,10.6,,,
143,2018-05-17,14.4,12.0,18.0,,,,6.1,,,
144,2018-05-18,13.6,7.0,20.0,,,33.3,12.1,,,
145,2018-05-19,14.4,9.0,20.0,,,50.4,14.8,,1019.2,
146,2018-05-20,14.0,10.0,17.0,,,38.3,14.6,,1018.4,
147,2018-05-21,17.8,12.0,23.0,,,,7.8,,,
148,2018-05-22,17.4,12.0,25.0,,,,7.3,,,
149,2018-05-23,17.6,14.0,22.0,,,,6.9,,,
150,2018-05-25,19.3,12.0,26.0,,,,,,1017.2,
151,2018-05-26,21.5,15.0,28.0,,,,9.5,,,
152,2018-05-27,22.1,16.0,28.0,,,,7.3,,1016.9,
153,2018-05-28,22.8,18.0,29.0,,,114.6,12.1,,,
154,2018-05-29,20.5,16.0,24.0,,,,,,1014.0,
155,2018-05-30,21.3,13.0,28.0,,,,7.6,,1013.5,
156,2018-06-01,19.3,16.0,24.0,,,,12.6,,1018.2,
157,2018-06-03,20.7,14.0,27.0,,,,11.5,,1016.4,
158,2018-06-04,22.7,16.0,29.0,,,,,,1010.1,
159,2018-06-05,22.4,15.0,29.0,,,,9.2,,1009.3,
160,2018-06-06,22.5,18.0,28.0,,,,,,1011.0,
161,2018-06-07,21.0,18.0,25.0,,,,7.0,,1014.5,
162,2018-06-08,21.9,14.0,28.0,,,,7.4,,1012.1,
163,2018-06-09,21.7,18.0,28.0,,,,7.8,,1011.8,
164,2018-06-10,22.6,17.0,29.0,,,,6.7,,1011.4,
165,2018-06-11,20.5,16.0,28.0,,,,5.1,,1009.5,
166,2018-06-12,17.4,16.0,20.0,,,,9.2,,1009.2,
167,2018-06-13,16.3,15.0,18.0,,,,13.9,,1013.9,
168,2018-06-14,17.2,13.0,22.0,,,,5.4,,1016.5,
169,2018-06-15,18.8,13.0,24.0,,,,7.0,,1016.5,
170,2018-06-16,19.7,12.0,27.0,,,,4.5,,1015.3,
171,2018-06-17,20.0,17.0,23.0,,,,7.4,,1018.4,
172,2018-06-18,19.0,14.0,24.0,,,,,,1022.3,
173,2018-06-19,20.7,13.0,27.0,,,,7.8,,1023.9,
174,2018-06-20,23.2,16.0,30.0,,,,7.5,,1020.3,
175,2018-06-21,22.1,16.0,27.0,,,,12.6,,1017.5,
176,2018-06-22,14.5,10.0,19.0,,,,9.0,,1025.1,
177,2018-06-23,14.5,6.0,22.0,,,,8.4,,1025.2,
178,2018-06-24,16.9,9.0,23.0,,,,,,1021.5,
179,2018-06-25,18.5,15.0,23.0,,,,12.6,,1022.1,
180,2018-06-27,20.2,13.0,27.0,,,,,,1021.0,
181,2018-06-28,20.2,13.0,26.0,,,63.8,16.3,,1018.7,
182,2018-06-29,23.6,19.0,30.0,,,57.9,17.3,,1015.0,
183,2018-06-30,24.0,15.0,31.0,,,,15.0,,1012.4,
184,2018-07-01,23.5,17.0,29.0,,,28.3,25.8,,1012.8,
185,2018-07-02,23.0,16.0,30.0,,,76.3,17.7,,1012.6,
186,2018-07-04,22.7,16.0,30.0,,,,9.1,,,
187,2018-07-05,18.4,15.0,21.0,,,,7.4,,1014.5,
188,2018-07-06,20.2,17.0,26.0,,,,9.1,,1018.2,
189,2018-07-07,21.3,15.0,28.0,,,,4.7,,1021.6,
190,2018-07-08,21.3,15.0,27.0,,,,,,1021.1,
191,2018-07-09,20.3,12.0,27.0,,,,10.4,,1019.7,
192,2018-07-10,18.4,15.0,23.0,,,,,,1016.8,
193,2018-07-11,17.5,13.0,22.0,,,,7.6,,1016.5,
194,2018-07-13,21.2,12.0,29.0,,,,6.9,,1018.5,
195,2018-07-14,23.2,17.0,29.0,,,,9.6,,1017.3,
196,2018-07-15,22.0,17.0,29.0,,,,8.6,,1015.0,
197,2018-07-16,22.1,16.0,28.0,,,,8.0,,1013.1,
198,2018-07-17,22.2,13.0,31.0,,,,9.9,,1014.4,
199,2018-07-18,22.6,16.0,29.0,,,,11.2,,1016.8,
200,2018-07-19,22.4,15.0,29.0,,,158.8,11.7,,1016.1,
201,2018-07-21,20.1,18.0,22.0,,,211.3,11.7,,1012.0,
202,2018-07-22,20.7,18.0,26.0,,,,,,1014.0,
203,2018-07-24,24.3,17.0,32.0,,,,10.5,,1013.7,
204,2018-07-25,25.3,16.0,33.0,,,,5.3,,1013.5,
205,2018-07-26,26.1,17.0,35.0,,,,10.8,,1013.3,
206,2018-07-27,25.4,16.0,34.0,,,,,,1011.5,
207,2018-07-29,24.2,17.0,32.0,,,,5.2,,1014.1,
208,2018-07-30,25.4,16.0,35.0,,,,4.8,,1014.9,
209,2018-07-31,26.2,17.0,35.0,,,,4.7,,1015.7,
210,2018-08-01,24.0,19.0,29.0,,,,11.9,,,
211,2018-08-02,24.3,19.0,32.0,,,,7.0,,1020.8,
212,2018-08-03,27.0,20.0,35.0,,,,11.4,,1018.5,
213,2018-08-04,27.3,19.0,36.0,,,,6.3,,1016.3,
214,2018-08-06,25.9,19.0,35.0,,,,10.1,,1015.1,
215,2018-08-07,26.6,19.0,34.0,,,,7.2,,1011.1,
216,2018-08-08,25.9,21.0,31.0,,,,,,1012.6,
217,2018-08-10,20.0,14.0,26.0,,,,10.6,,1023.0,
218,2018-08-11,19.4,13.0,26.0,,,,9.0,,1023.0,
219,2018-08-12,19.9,9.0,30.0,,,,4.4,,1016.2,
220,2018-08-13,19.1,14.0,24.0,,,,11.4,,1010.3,
221,2018-08-15,19.8,14.0,26.0,,,,6.0,,1019.8,
